"Latitude","Longitude"
38.4703840667,-122.7604180667
38.4615617407,-122.7587988519
38.4571715652,-122.7492436087
38.4407752258,-122.7581314516
38.4746215714,-122.8034969683
38.3942182718,-122.6593448252
38.43518196,-122.66949316
38.4508645667,-122.6656069833
38.443720697,-122.6912768485
38.41441269,-122.62467901
38.3860332977,-122.5378569581
38.4207242273,-122.7213623636
38.4270310333,-122.7264470667
38.4348567576,-122.7342677273
38.439169037,-122.731775037
38.418664625,-122.7342540417
38.39057985,-122.7752966125
38.4305825574,-122.7992048197
38.3914106774,-122.7249172903
38.3230833333,-122.6955619583
38.3339765,-122.70156965
38.3400427234,-122.7946754681
38.3838181351,-122.8017786216
38.4118890769,-122.8409288269
38.3843478421,-122.8287836053
38.3434876,-122.881187232
38.4178925789,-122.8817312368
38.4781140423,-122.9056770986
38.4780445089,-123.0125270804
38.5130936188,-122.9118465099
38.531123235,-123.0036938907
38.3773291917,-122.9877366167
38.2658814828,-122.6412073103
38.202457619,-122.6305118413
38.0036402542,-122.496407
37.9819220435,-122.5076451522
37.9844319231,-122.4802000513
37.9600717179,-122.501421359
37.9667340625,-122.506893
37.94549596,-122.5306572
37.9478688219,-122.5500026301
37.9638962203,-122.5650496949
37.9303586111,-122.501639537
37.9128692632,-122.5412238246
37.9095114426,-122.5598169508
37.8936374706,-122.5075701765
37.9065648269,-122.49238075
37.8622683333,-122.4311258462
37.8745484615,-122.4636746538
37.8668302,-122.5000505429
37.7845673077,-122.4692348462
37.77437275,-122.448253
37.7760213333,-122.4297365556
37.7718064545,-122.4292807273
37.7734905714,-122.4253207857
37.7774805455,-122.4237321818
37.7533394545,-122.4382681818
37.7484077143,-122.4398659286
37.7523069655,-122.4452075517
37.7453354762,-122.4384640952
37.7406222333,-122.4400614
